album_id,album_name,popularity,total_tracks,album_type,artist_id
03tNHgNYqrH2Chz3QqjIqM,Stars & Stripes,0,2,single,5UloVKzUNJcjORzhhTWWiJ
03TYvSXimtWZMxhHUjDBzd,Trapped By A Thing Called Love,43,22,album,0GVO1kqJHVxOarPgex9K15
03vHLq8Zn6OMO2yaScSR8w,Honky Tonk Angels,45,12,album,1LFKKuzn302wp15dYH28id
03vJ0BcslLb4fKyBYN78Gy,Strut,57,12,album,5gznATMVO85ZcLTkE9ULU7
03WJAI8NnJHvCNqnlLw8kg,Excitable Boy,59,13,album,3mY9Ii0cL5SQxpOTAm8SHx
03WjhytqhNAvfJI5DeNZUO,Stronger,57,10,album,7qvsLYsYP0MHD7jkdv6DAG
03XDcohwBCCWro2Cphmolo,In And Out Of Love,30,16,album,15U1prrFKwSBJamlMNuVW5
03YagIkYFMjyURv5XoMThA,Pull the Thorns from Your Heart,35,11,album,591yCCsZCLXvaJ0Rg38vLZ
03zfU3IwWmymKoaWnwFNaY,Tumbleweed Connection,52,12,album,3PhoLpVuITZKcymswpck5b
040helHAun4UZQ6lRsltSo,Kinky Friedman,29,12,album,5VAErlnVRxRQk8ZvZt6i7e
040ZtZ1HRgoHRruJtI4IAh,Alice Cooper Goes To Hell,45,11,album,3EhbVgyfGd7HkpsagwL9GS
041PG01l4ZXKrfWOCU4DyB,Lynyrd Skynyrd 1991,29,11,album,4MVyzYMgTwdP7Z49wAZHx0
